title,tags,game_url,img_url
众神的游戏,"['文字', '视觉小说', '单人', '科幻']",https://www.gcores.com/games/80489,"https://image.gcores.com/095b2181-5d2c-4c52-8e2e-899b9b37920e.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
深渊公司,"['卡牌', '回合制', '单人', '黑暗', '超自然', '反乌托邦']",https://www.gcores.com/games/80955,"https://image.gcores.com/ee9782bf-a5e4-4f73-b86a-71955976ef3c.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
【BOOOM】遗忘的角落,"['冒险', '策略', '解谜', '单人', '恐怖', '黑暗']",https://www.gcores.com/games/81169,"https://image.gcores.com/f12d7881-7df0-44f4-93aa-019859475592.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
子羽步行,"['单人', '休闲', '卡通']",https://www.gcores.com/games/81170,"https://image.gcores.com/f87b4bb6-509c-45b2-975a-3fb31666b19c.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
以埃罗,"['单人', '步行模拟', '横版', '黑暗', '手绘']",https://www.gcores.com/games/81321,"https://image.gcores.com/99bb796c-767e-498a-b3cb-b1ae0375df39.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
wander in the time,"['解谜', '冒险', '单人', '科幻', '像素', '灾难']",https://www.gcores.com/games/81326,"https://image.gcores.com/3757fde0-429d-4dda-bfd5-957835ca7b91.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
绿水蚺小队,"['策略', '单人', '军事', '科幻']",https://www.gcores.com/games/81369,"https://image.gcores.com/f14b85a7-b597-4807-9a29-8345f6614d54.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
Wondering,"['步行模拟', '休闲']",https://www.gcores.com/games/81373,"https://image.gcores.com/605904c6-515e-4fad-bc75-a306facd8c47.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
Madivina: Dark Forest,"['恋爱', '单人', '复古', '像素']",https://www.gcores.com/games/81380,"https://image.gcores.com/9db24857-203c-4e0c-9bee-31da8d014fd9.gif?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
BONG：境,"['独立游戏', '桌面', '单人', 'Roguelike', '步行模拟', '科幻', '奇幻', '休闲', '幻想', '卡通']",https://www.gcores.com/games/81467,"https://image.gcores.com/16f4c375-d6b4-4dbf-b405-89024e310f41.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
verysmallshelter,"['策略', '科幻']",https://www.gcores.com/games/80488,"https://image.gcores.com/7d7cfd5b-f599-422d-98f6-4a70d2a1eea2.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
环保小鸡,"['桌面', '单人', '像素']",https://www.gcores.com/games/81172,"https://image.gcores.com/247bfdd2-fb26-48e4-9763-b53365c29573.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
寄生—To Be Amber,"['解谜', '单人', '文字', '冒险', '像素', '爱情', '科幻']",https://www.gcores.com/games/81225,"https://image.gcores.com/b0eca7d4-f639-44e6-95a8-c5355630d425.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
